Child DCN,Child MOSIS ID,RefVisitingType.Description,VisitDate
0000000021,000021,Family Support Visit,2024-08-23
0000000022,000022,Developmental Check,2020-05-30
0000000022,000022,Family Support Visit,2021-04-01
0000000022,000022,Home Visit,2020-04-28
0000000023,000023,Family Support Visit,2020-03-01
0000000023,000023,Home Visit,2020-01-19
0000000023,000023,Family Support Visit,2019-12-21
0000000023,000023,Case Management,2020-03-01
0000000024,000024,Case Management,2025-08-18
0000000024,000024,Family Support Visit,2022-07-26
0000000024,000024,Family Support Visit,2021-05-31
0000000025,000025,Home Visit,2024-07-05
0000000025,000025,Developmental Check,2024-04-26
0000000026,000026,Home Visit,2021-10-22
0000000026,000026,Home Visit,2022-03-12
0000000026,000026,Case Management,2021-05-03
0000000027,000027,Home Visit,2019-08-18
0000000027,000027,Family Support Visit,2020-08-14
0000000028,000028,Developmental Check,2021-01-18
0000000028,000028,Developmental Check,2019-05-24
0000000029,000029,Developmental Check,2019-12-12
0000000029,000029,Developmental Check,2020-09-17
0000000030,000030,Family Support Visit,2021-11-13
0000000030,000030,Developmental Check,2022-03-27
0000000030,000030,Family Support Visit,2021-10-07
0000000031,000031,Case Management,2019-12-05
0000000031,000031,Home Visit,2019-10-09
0000000031,000031,Case Management,2019-11-21
0000000031,000031,Developmental Check,2019-12-23
0000000032,000032,Family Support Visit,2019-10-31
0000000033,000033,Case Management,2022-08-18
0000000033,000033,Home Visit,2022-11-22
0000000033,000033,Family Support Visit,2022-10-01
0000000035,000035,Home Visit,2022-10-24
0000000035,000035,Home Visit,2022-09-15
0000000035,000035,Case Management,2022-06-18
0000000036,000036,Home Visit,2022-07-18
0000000036,000036,Case Management,2022-10-08
0000000037,000037,Developmental Check,2023-02-09
0000000037,000037,Home Visit,2020-07-07
0000000038,000038,Case Management,2021-12-09
0000000038,000038,Family Support Visit,2022-06-11
0000000039,000039,Developmental Check,2019-05-03
0000000039,000039,Developmental Check,2019-09-20
0000000039,000039,Home Visit,2019-04-24
0000000041,000041,Case Management,2022-05-06
0000000041,000041,Home Visit,2022-11-10
0000000042,000042,Case Management,2022-10-19
0000000042,000042,Home Visit,2021-06-21
0000000042,000042,Developmental Check,2021-04-07
0000000042,000042,Home Visit,2021-01-05
0000000042,000042,Family Support Visit,2022-08-17
0000000042,000042,Family Support Visit,2021-09-27
0000000044,000044,Case Management,2025-03-22
0000000044,000044,Family Support Visit,2022-07-01
0000000044,000044,Case Management,2023-03-21
0000000045,000045,Home Visit,2020-11-30
0000000045,000045,Case Management,2021-10-17
0000000045,000045,Home Visit,2020-12-16
0000000045,000045,Home Visit,2022-04-16
0000000046,000046,Developmental Check,2020-09-02
0000000046,000046,Developmental Check,2020-11-15
0000000046,000046,Home Visit,2021-01-13
0000000046,000046,Home Visit,2021-01-17
0000000046,000046,Developmental Check,2021-01-22
0000000046,000046,Developmental Check,2020-11-03
0000000047,000047,Case Management,2024-01-16
0000000047,000047,Developmental Check,2022-11-07
0000000047,000047,Case Management,2023-02-24
0000000047,000047,Case Management,2023-01-12
0000000048,000048,Home Visit,2022-01-05
0000000048,000048,Developmental Check,2021-11-30
0000000048,000048,Developmental Check,2021-03-29
0000000049,000049,Case Management,2022-03-12
0000000049,000049,Home Visit,2022-04-10
0000000050,000050,Family Support Visit,2022-03-22
0000000050,000050,Developmental Check,2024-01-02
0000000050,000050,Family Support Visit,2024-10-13
0000000051,000051,Developmental Check,2020-04-28
0000000051,000051,Case Management,2020-10-08
0000000051,000051,Case Management,2020-09-12
0000000052,000052,Family Support Visit,2022-01-22
0000000052,000052,Case Management,2021-01-21
0000000052,000052,Home Visit,2020-12-16
0000000052,000052,Case Management,2020-05-13
0000000054,000054,Developmental Check,2020-11-26
0000000054,000054,Case Management,2020-08-17
0000000054,000054,Family Support Visit,2021-05-31
0000000054,000054,Home Visit,2020-10-18
0000000057,000057,Family Support Visit,2024-11-22
0000000058,000058,Case Management,2022-03-03
0000000058,000058,Family Support Visit,2022-02-05
0000000058,000058,Family Support Visit,2021-12-08
0000000058,000058,Home Visit,2022-06-05
0000000059,000059,Home Visit,2022-10-11
0000000060,000060,Case Management,2020-05-23
0000000060,000060,Case Management,2020-11-09
0000000061,000061,Family Support Visit,2021-06-30
0000000061,000061,Developmental Check,2022-03-04
0000000062,000062,Developmental Check,2018-11-10
0000000062,000062,Family Support Visit,2018-10-18
0000000062,000062,Case Management,2018-06-21
0000000062,000062,Home Visit,2018-11-10
0000000062,000062,Case Management,2018-08-02
0000000064,000064,Family Support Visit,2020-11-16
0000000064,000064,Home Visit,2021-03-21
0000000065,000065,Developmental Check,2023-11-08
0000000065,000065,Family Support Visit,2024-05-19
0000000066,000066,Case Management,2024-08-04
0000000066,000066,Developmental Check,2022-04-07
0000000066,000066,Home Visit,2024-03-03
0000000067,000067,Home Visit,2022-11-14
0000000069,000069,Case Management,2024-12-06
0000000069,000069,Developmental Check,2022-05-28
0000000070,000070,Case Management,2021-09-15
0000000070,000070,Case Management,2020-12-08
0000000070,000070,Developmental Check,2021-07-14
0000000071,000071,Case Management,2026-03-01
0000000071,000071,Developmental Check,2023-12-26
0000000072,000072,Developmental Check,2020-10-31
0000000072,000072,Family Support Visit,2021-01-03
0000000072,000072,Developmental Check,2020-10-22
0000000073,000073,Developmental Check,2021-02-09
0000000073,000073,Home Visit,2021-12-10
0000000073,000073,Case Management,2021-07-09
0000000073,000073,Home Visit,2021-03-04
0000000073,000073,Case Management,2021-11-25
0000000074,000074,Developmental Check,2020-02-04
0000000075,000075,Developmental Check,2022-05-24
0000000075,000075,Developmental Check,2020-08-06
0000000076,000076,Family Support Visit,2023-02-26
0000000076,000076,Home Visit,2023-03-03
0000000076,000076,Case Management,2023-01-22
0000000076,000076,Case Management,2022-07-15
0000000077,000077,Case Management,2022-07-23
0000000077,000077,Developmental Check,2023-03-30
0000000077,000077,Developmental Check,2023-01-04
0000000078,000078,Case Management,2020-10-19
0000000078,000078,Home Visit,2020-05-27
0000000078,000078,Family Support Visit,2021-02-04
0000000078,000078,Home Visit,2021-10-17
0000000079,000079,Home Visit,2022-07-06
0000000079,000079,Case Management,2023-02-01
0000000079,000079,Home Visit,2021-11-24
0000000079,000079,Developmental Check,2024-08-25
0000000080,000080,Family Support Visit,2027-02-19
0000000081,000081,Developmental Check,2023-02-09
0000000081,000081,Developmental Check,2022-06-29
0000000081,000081,Family Support Visit,2023-10-15
0000000081,000081,Case Management,2022-07-22
0000000082,000082,Home Visit,2023-10-19
0000000082,000082,Home Visit,2025-12-14
0000000083,000083,Case Management,2021-06-30
0000000083,000083,Family Support Visit,2021-04-19
0000000083,000083,Case Management,2020-12-23
0000000083,000083,Home Visit,2021-02-16
0000000083,000083,Family Support Visit,2021-05-05
0000000083,000083,Family Support Visit,2021-05-31
0000000084,000084,Case Management,2023-01-17
0000000086,000086,Home Visit,2018-12-28
0000000086,000086,Home Visit,2020-09-17
0000000086,000086,Case Management,2020-02-14
0000000086,000086,Home Visit,2019-10-30
0000000086,000086,Home Visit,2020-09-15
0000000086,000086,Case Management,2020-01-28
0000000087,000087,Home Visit,2022-09-22
0000000087,000087,Home Visit,2021-07-19
0000000088,000088,Developmental Check,2023-05-23
0000000089,000089,Case Management,2025-12-11
0000000091,000091,Family Support Visit,2025-08-29
0000000092,000092,Family Support Visit,2020-06-16
0000000092,000092,Family Support Visit,2021-09-13
0000000092,000092,Case Management,2021-06-10
0000000092,000092,Home Visit,2020-08-11
0000000094,000094,Developmental Check,2021-04-28
0000000094,000094,Case Management,2021-11-14
0000000095,000095,Home Visit,2022-02-17
0000000095,000095,Case Management,2020-06-12
0000000096,000096,Case Management,2020-11-21
0000000096,000096,Family Support Visit,2021-04-04
0000000098,000098,Family Support Visit,2021-03-19
0000000098,000098,Home Visit,2021-06-15
0000000099,000099,Home Visit,2023-05-30
0000000099,000099,Developmental Check,2023-07-23
0000000101,000101,Home Visit,2020-12-08
0000000102,000102,Family Support Visit,2020-07-22
0000000103,000103,Case Management,2022-01-10
0000000103,000103,Case Management,2021-11-30
0000000103,000103,Home Visit,2021-11-11
0000000104,000104,Family Support Visit,2023-07-31
0000000104,000104,Developmental Check,2023-02-04
0000000104,000104,Case Management,2023-06-28
0000000105,000105,Case Management,2018-10-29
0000000105,000105,Family Support Visit,2018-07-23
0000000105,000105,Family Support Visit,2018-08-12
0000000106,000106,Case Management,2023-02-28
0000000107,000107,Developmental Check,2022-01-11
0000000108,000108,Home Visit,2020-12-30
0000000108,000108,Home Visit,2021-06-05
0000000109,000109,Developmental Check,2020-01-10
0000000109,000109,Developmental Check,2021-05-30
0000000109,000109,Home Visit,2020-03-12
0000000110,000110,Family Support Visit,2023-07-24
0000000110,000110,Home Visit,2022-08-15
0000000110,000110,Home Visit,2022-07-22
0000000111,000111,Home Visit,2020-04-19
0000000111,000111,Developmental Check,2020-06-16
0000000111,000111,Case Management,2019-06-19
0000000111,000111,Case Management,2020-06-12
0000000112,000112,Home Visit,2020-09-27
0000000112,000112,Developmental Check,2023-08-02
0000000113,000113,Home Visit,2019-01-17
0000000113,000113,Home Visit,2018-07-15
0000000113,000113,Developmental Check,2018-08-10
0000000113,000113,Home Visit,2018-07-19
0000000113,000113,Developmental Check,2018-08-23
0000000115,000115,Case Management,2024-04-24
0000000116,000116,Case Management,2024-02-25
0000000117,000117,Developmental Check,2022-09-28
0000000118,000118,Case Management,2024-07-17
0000000118,000118,Family Support Visit,2024-08-14
0000000119,000119,Developmental Check,2022-10-21
0000000119,000119,Developmental Check,2021-10-15
0000000119,000119,Family Support Visit,2022-05-09
0000000119,000119,Case Management,2022-03-14
0000000119,000119,Case Management,2021-11-23
0000000119,000119,Developmental Check,2022-09-13
0000000120,000120,Case Management,2022-06-11
0000000121,000121,Case Management,2025-07-17
0000000123,000123,Home Visit,2022-10-21
0000000124,000124,Developmental Check,2021-04-03
0000000124,000124,Case Management,2024-03-30
0000000125,000125,Home Visit,2022-09-12
0000000126,000126,Home Visit,2019-08-11
0000000126,000126,Case Management,2019-08-09
0000000126,000126,Case Management,2018-11-23
0000000127,000127,Developmental Check,2022-05-18
0000000127,000127,Developmental Check,2022-02-14
0000000128,000128,Case Management,2022-03-10
0000000128,000128,Home Visit,2024-02-24
0000000129,000129,Family Support Visit,2021-05-20
0000000129,000129,Developmental Check,2021-12-19
0000000129,000129,Family Support Visit,2021-07-19
0000000130,000130,Home Visit,2025-02-19
0000000130,000130,Family Support Visit,2024-11-16
0000000131,000131,Home Visit,2021-08-09
0000000131,000131,Developmental Check,2021-07-05
0000000132,000132,Family Support Visit,2023-06-30
0000000132,000132,Case Management,2022-07-08
0000000133,000133,Developmental Check,2022-02-11
0000000133,000133,Family Support Visit,2022-05-29
0000000133,000133,Home Visit,2022-06-15
0000000133,000133,Family Support Visit,2022-02-20
0000000134,000134,Case Management,2019-06-11
0000000134,000134,Case Management,2020-08-08
0000000134,000134,Case Management,2021-12-23
0000000134,000134,Developmental Check,2021-12-07
0000000135,000135,Developmental Check,2021-12-29
0000000136,000136,Developmental Check,2020-03-20
0000000137,000137,Family Support Visit,2021-09-23
0000000138,000138,Developmental Check,2023-02-02
0000000138,000138,Family Support Visit,2022-08-30
0000000138,000138,Family Support Visit,2022-11-01
0000000139,000139,Developmental Check,2023-05-06
0000000139,000139,Developmental Check,2021-02-21
0000000139,000139,Case Management,2023-01-14
0000000139,000139,Case Management,2022-11-10
0000000139,000139,Family Support Visit,2020-02-29
0000000140,000140,Family Support Visit,2022-07-30
0000000140,000140,Family Support Visit,2021-12-10
0000000140,000140,Home Visit,2022-09-11
0000000140,000140,Developmental Check,2022-11-03
0000000141,000141,Home Visit,2021-02-19
0000000141,000141,Home Visit,2020-04-15
0000000141,000141,Family Support Visit,2019-12-15
0000000141,000141,Home Visit,2019-12-24
0000000142,000142,Case Management,2025-03-14
0000000143,000143,Case Management,2024-01-07
0000000144,000144,Developmental Check,2019-08-19
0000000144,000144,Developmental Check,2020-06-12
0000000144,000144,Home Visit,2020-05-27
0000000145,000145,Developmental Check,2022-09-10
0000000145,000145,Family Support Visit,2023-03-01
0000000146,000146,Developmental Check,2019-10-30
0000000148,000148,Family Support Visit,2021-02-17
0000000148,000148,Home Visit,2021-07-17
0000000148,000148,Home Visit,2021-06-03
0000000149,000149,Family Support Visit,2021-12-23
0000000149,000149,Developmental Check,2023-01-17
0000000150,000150,Developmental Check,2021-08-01
0000000150,000150,Developmental Check,2021-01-23
0000000150,000150,Developmental Check,2024-03-06
0000000151,000151,Developmental Check,2022-02-14
0000000151,000151,Developmental Check,2021-10-10
0000000152,000152,Family Support Visit,2021-07-28
0000000152,000152,Family Support Visit,2021-07-29
0000000152,000152,Case Management,2021-03-21
0000000153,000153,Family Support Visit,2019-12-05
0000000153,000153,Family Support Visit,2020-03-24
0000000154,000154,Case Management,2020-08-25
0000000154,000154,Home Visit,2021-01-12
0000000155,000155,Case Management,2022-02-20
0000000156,000156,Developmental Check,2021-06-06
0000000156,000156,Family Support Visit,2020-12-23
0000000156,000156,Home Visit,2022-03-04
0000000156,000156,Developmental Check,2020-11-27
0000000156,000156,Home Visit,2020-05-17
0000000156,000156,Developmental Check,2019-12-08
0000000157,000157,Family Support Visit,2020-08-27
0000000157,000157,Case Management,2021-08-16
0000000157,000157,Home Visit,2023-12-29
0000000157,000157,Family Support Visit,2021-03-18
0000000158,000158,Developmental Check,2024-02-03
0000000158,000158,Developmental Check,2023-03-08
0000000159,000159,Case Management,2022-08-12
0000000160,000160,Family Support Visit,2022-01-22
0000000160,000160,Home Visit,2021-08-01
0000000160,000160,Home Visit,2022-12-06
0000000160,000160,Developmental Check,2021-05-11
0000000160,000160,Home Visit,2023-03-20
0000000160,000160,Developmental Check,2021-01-14
0000000161,000161,Home Visit,2020-03-08
0000000161,000161,Developmental Check,2019-08-03
0000000162,000162,Family Support Visit,2020-03-18
0000000163,000163,Developmental Check,2022-09-22
0000000163,000163,Family Support Visit,2022-11-08
0000000164,000164,Case Management,2023-11-09
0000000164,000164,Home Visit,2024-11-25
0000000166,000166,Case Management,2021-01-29
0000000167,000167,Developmental Check,2024-07-29
0000000168,000168,Family Support Visit,2022-06-09
0000000168,000168,Home Visit,2023-06-01
0000000168,000168,Developmental Check,2022-10-18
0000000169,000169,Home Visit,2023-08-29
0000000169,000169,Family Support Visit,2021-10-04
0000000171,000171,Case Management,2019-02-25
0000000171,000171,Case Management,2019-02-03
0000000171,000171,Case Management,2019-02-26
0000000172,000172,Family Support Visit,2023-06-03
0000000172,000172,Home Visit,2026-01-27
0000000172,000172,Family Support Visit,2024-08-13
0000000173,000173,Home Visit,2023-05-15
0000000174,000174,Home Visit,2024-12-08
0000000174,000174,Developmental Check,2023-04-02
0000000175,000175,Home Visit,2023-06-07
0000000175,000175,Home Visit,2023-06-21
0000000175,000175,Home Visit,2023-11-21
0000000175,000175,Case Management,2023-06-02
0000000175,000175,Family Support Visit,2023-11-24
0000000176,000176,Developmental Check,2024-10-18
0000000177,000177,Family Support Visit,2020-10-18
0000000177,000177,Developmental Check,2019-08-02
0000000177,000177,Family Support Visit,2020-11-19
0000000177,000177,Family Support Visit,2018-11-29
0000000177,000177,Family Support Visit,2018-12-08
0000000178,000178,Case Management,2020-09-12
0000000178,000178,Home Visit,2020-01-08
0000000178,000178,Developmental Check,2020-10-22
0000000178,000178,Case Management,2020-06-07
0000000180,000180,Case Management,2019-11-28
0000000181,000181,Family Support Visit,2020-08-31
0000000181,000181,Family Support Visit,2020-04-23
0000000181,000181,Case Management,2020-10-02
0000000181,000181,Developmental Check,2020-07-30
0000000182,000182,Family Support Visit,2021-10-06
0000000182,000182,Family Support Visit,2021-07-17
0000000183,000183,Developmental Check,2023-01-27
0000000184,000184,Case Management,2023-04-10
0000000184,000184,Case Management,2021-09-19
0000000184,000184,Home Visit,2022-02-08
0000000185,000185,Family Support Visit,2023-04-02
0000000185,000185,Family Support Visit,2024-06-06
0000000185,000185,Home Visit,2024-03-06
0000000185,000185,Family Support Visit,2024-06-04
0000000186,000186,Home Visit,2024-01-25
0000000186,000186,Case Management,2022-06-26
0000000187,000187,Developmental Check,2020-04-25
0000000187,000187,Case Management,2021-03-05
0000000187,000187,Developmental Check,2020-06-11
0000000187,000187,Developmental Check,2020-04-12
0000000187,000187,Family Support Visit,2021-05-22
0000000187,000187,Family Support Visit,2020-09-10
0000000188,000188,Family Support Visit,2021-06-05
0000000189,000189,Family Support Visit,2022-07-23
0000000189,000189,Family Support Visit,2022-06-26
0000000189,000189,Home Visit,2026-07-22
0000000190,000190,Home Visit,2021-02-25
0000000191,000191,Developmental Check,2018-09-19
0000000191,000191,Case Management,2020-09-13
0000000191,000191,Developmental Check,2021-01-23
0000000191,000191,Developmental Check,2021-06-24
0000000191,000191,Case Management,2018-08-20
0000000192,000192,Home Visit,2020-12-12
0000000192,000192,Case Management,2020-12-09
0000000192,000192,Home Visit,2020-11-04
0000000192,000192,Developmental Check,2020-11-15
0000000193,000193,Home Visit,2023-11-09
0000000193,000193,Case Management,2023-04-24
0000000193,000193,Developmental Check,2024-05-30
0000000194,000194,Home Visit,2021-10-21
0000000195,000195,Developmental Check,2024-08-21
0000000195,000195,Developmental Check,2024-07-30
0000000195,000195,Case Management,2024-04-26
0000000195,000195,Home Visit,2024-02-04
0000000195,000195,Family Support Visit,2023-09-04
0000000196,000196,Family Support Visit,2020-01-19
0000000196,000196,Case Management,2020-09-15
0000000196,000196,Case Management,2020-10-06
0000000197,000197,Developmental Check,2021-01-09
0000000197,000197,Case Management,2020-12-14
0000000197,000197,Case Management,2021-07-22
0000000197,000197,Family Support Visit,2021-02-09
0000000198,000198,Family Support Visit,2021-06-13
0000000198,000198,Case Management,2021-06-06
0000000198,000198,Developmental Check,2021-06-27
0000000199,000199,Home Visit,2019-04-10
0000000200,000200,Family Support Visit,2020-09-22
0000000200,000200,Home Visit,2020-06-19
0000000202,000202,Case Management,2022-09-06
0000000203,000203,Developmental Check,2019-04-13
0000000203,000203,Home Visit,2019-04-18
0000000203,000203,Family Support Visit,2020-03-12
0000000204,000204,Case Management,2024-01-12
0000000205,000205,Developmental Check,2021-09-02
0000000205,000205,Family Support Visit,2021-08-19
0000000205,000205,Case Management,2021-05-11
0000000205,000205,Developmental Check,2022-10-28
0000000207,000207,Home Visit,2021-06-11
0000000207,000207,Case Management,2021-06-16
0000000208,000208,Family Support Visit,2021-09-28
0000000208,000208,Family Support Visit,2021-11-27
0000000209,000209,Family Support Visit,2023-10-04
0000000210,000210,Developmental Check,2025-03-22
0000000210,000210,Case Management,2021-10-30
0000000211,000211,Family Support Visit,2021-09-15
0000000211,000211,Home Visit,2022-07-13
0000000211,000211,Developmental Check,2021-12-18
0000000211,000211,Developmental Check,2022-02-08
0000000211,000211,Developmental Check,2021-10-11
0000000212,000212,Case Management,2019-10-04
0000000212,000212,Family Support Visit,2019-07-24
0000000212,000212,Family Support Visit,2020-02-21
0000000212,000212,Developmental Check,2019-09-01
0000000213,000213,Family Support Visit,2022-01-14
0000000213,000213,Case Management,2023-07-17
0000000214,000214,Home Visit,2023-11-25
0000000216,000216,Family Support Visit,2022-04-08
0000000216,000216,Case Management,2022-04-20
0000000217,000217,Case Management,2021-11-16
0000000217,000217,Case Management,2024-01-17
0000000218,000218,Developmental Check,2021-11-20
0000000218,000218,Developmental Check,2020-04-22
0000000218,000218,Home Visit,2021-02-02
0000000219,000219,Home Visit,2026-11-03
0000000219,000219,Family Support Visit,2024-02-27
0000000220,000220,Home Visit,2021-03-28
0000000221,000221,Home Visit,2024-01-27
0000000221,000221,Family Support Visit,2022-06-05
0000000221,000221,Case Management,2023-03-06
0000000221,000221,Case Management,2020-04-30
0000000222,000222,Home Visit,2022-12-16
0000000222,000222,Family Support Visit,2024-02-20
0000000224,000224,Family Support Visit,2020-03-24
0000000224,000224,Case Management,2020-01-13
0000000226,000226,Family Support Visit,2022-08-14
0000000226,000226,Case Management,2020-12-04
0000000228,000228,Case Management,2020-10-15
0000000228,000228,Home Visit,2019-07-10
0000000228,000228,Case Management,2020-11-13
0000000228,000228,Case Management,2019-12-18
0000000229,000229,Developmental Check,2019-12-02
0000000229,000229,Home Visit,2020-02-03
0000000229,000229,Family Support Visit,2020-09-07
0000000230,000230,Home Visit,2020-08-24
0000000230,000230,Developmental Check,2020-02-08
0000000230,000230,Developmental Check,2020-06-08
0000000230,000230,Case Management,2020-08-18
0000000230,000230,Developmental Check,2019-12-09
0000000230,000230,Home Visit,2020-03-04
0000000231,000231,Developmental Check,2020-01-08
0000000231,000231,Family Support Visit,2019-03-24
0000000232,000232,Family Support Visit,2020-01-05
0000000232,000232,Case Management,2020-08-21
0000000232,000232,Developmental Check,2023-05-25
0000000232,000232,Family Support Visit,2022-12-18
0000000233,000233,Case Management,2022-05-30
0000000233,000233,Family Support Visit,2022-02-19
0000000233,000233,Case Management,2022-10-04
0000000233,000233,Family Support Visit,2022-01-09
0000000234,000234,Family Support Visit,2019-10-03
0000000234,000234,Family Support Visit,2020-01-17
0000000234,000234,Case Management,2022-12-18
0000000234,000234,Home Visit,2020-01-20
0000000235,000235,Developmental Check,2026-01-23
0000000235,000235,Family Support Visit,2023-08-21
0000000236,000236,Developmental Check,2020-01-03
0000000236,000236,Home Visit,2020-03-14
0000000238,000238,Developmental Check,2022-01-06
0000000238,000238,Home Visit,2022-07-14
0000000239,000239,Developmental Check,2019-11-23
0000000239,000239,Developmental Check,2020-04-25
0000000239,000239,Developmental Check,2020-04-30
0000000239,000239,Developmental Check,2020-02-25
0000000239,000239,Home Visit,2020-02-11
0000000240,000240,Home Visit,2022-09-09
0000000240,000240,Case Management,2024-01-16
0000000240,000240,Family Support Visit,2025-02-21
0000000240,000240,Case Management,2024-02-28
0000000241,000241,Case Management,2025-02-20
0000000242,000242,Developmental Check,2023-06-10
0000000242,000242,Developmental Check,2023-07-06
0000000243,000243,Family Support Visit,2023-07-07
0000000243,000243,Family Support Visit,2023-02-18
0000000243,000243,Developmental Check,2023-05-19
0000000243,000243,Case Management,2023-01-19
0000000243,000243,Family Support Visit,2023-01-29
0000000244,000244,Case Management,2020-01-20
0000000245,000245,Developmental Check,2024-11-18
0000000246,000246,Case Management,2022-08-14
0000000247,000247,Developmental Check,2019-08-22
0000000247,000247,Home Visit,2020-02-02
0000000247,000247,Case Management,2021-07-19
0000000247,000247,Case Management,2019-12-20
0000000248,000248,Developmental Check,2026-06-11
0000000248,000248,Family Support Visit,2024-03-24
0000000248,000248,Case Management,2023-10-05
0000000248,000248,Developmental Check,2023-10-30
0000000249,000249,Developmental Check,2025-02-21
0000000249,000249,Home Visit,2023-03-09
0000000250,000250,Case Management,2022-12-31
0000000250,000250,Case Management,2025-10-02
0000000250,000250,Case Management,2025-10-26
0000000250,000250,Case Management,2026-04-28
0000000252,000252,Home Visit,2021-11-07
0000000252,000252,Family Support Visit,2021-08-07
0000000252,000252,Case Management,2022-05-12
0000000252,000252,Developmental Check,2021-07-30
0000000252,000252,Home Visit,2021-05-03
0000000252,000252,Case Management,2020-03-27
0000000253,000253,Home Visit,2022-01-24
0000000254,000254,Family Support Visit,2022-12-28
0000000254,000254,Case Management,2023-09-27
0000000254,000254,Developmental Check,2022-10-02
0000000254,000254,Family Support Visit,2023-06-30
0000000255,000255,Family Support Visit,2025-04-29
0000000255,000255,Case Management,2023-01-19
0000000256,000256,Case Management,2024-07-13
0000000256,000256,Home Visit,2024-04-26
0000000256,000256,Case Management,2024-07-12
0000000256,000256,Developmental Check,2023-11-12
0000000256,000256,Family Support Visit,2023-09-25
0000000256,000256,Case Management,2024-02-02
0000000258,000258,Developmental Check,2022-09-09
0000000258,000258,Family Support Visit,2026-09-08
0000000259,000259,Developmental Check,2023-03-10
0000000259,000259,Home Visit,2023-04-19
0000000259,000259,Family Support Visit,2023-02-26
0000000260,000260,Developmental Check,2022-02-01
0000000260,000260,Home Visit,2021-09-16
0000000261,000261,Case Management,2021-01-12
0000000261,000261,Home Visit,2021-08-18
0000000261,000261,Home Visit,2022-02-22
0000000263,000263,Family Support Visit,2022-02-06
0000000264,000264,Family Support Visit,2024-03-07
0000000265,000265,Family Support Visit,2019-10-05
0000000265,000265,Family Support Visit,2020-12-08
0000000266,000266,Developmental Check,2019-06-26
0000000266,000266,Home Visit,2019-06-03
0000000266,000266,Case Management,2019-02-12
0000000267,000267,Case Management,2024-09-24
0000000267,000267,Home Visit,2025-11-26
0000000267,000267,Case Management,2023-02-14
0000000269,000269,Developmental Check,2023-11-07
0000000269,000269,Case Management,2020-12-07
0000000269,000269,Case Management,2023-06-25
0000000270,000270,Home Visit,2019-04-14
0000000270,000270,Home Visit,2020-11-06
0000000271,000271,Family Support Visit,2019-07-31
0000000271,000271,Case Management,2018-11-16
0000000272,000272,Developmental Check,2024-03-17
0000000272,000272,Home Visit,2023-10-27
0000000273,000273,Home Visit,2024-08-17
0000000273,000273,Family Support Visit,2022-08-01
0000000273,000273,Developmental Check,2025-07-23
0000000273,000273,Case Management,2021-11-18
0000000274,000274,Home Visit,2023-10-28
0000000274,000274,Developmental Check,2025-04-07
0000000275,000275,Home Visit,2021-03-16
0000000276,000276,Home Visit,2022-11-04
0000000277,000277,Family Support Visit,2021-04-17
0000000277,000277,Case Management,2021-09-28
0000000277,000277,Home Visit,2022-09-11
0000000278,000278,Developmental Check,2020-08-06
0000000278,000278,Case Management,2021-02-28
0000000278,000278,Family Support Visit,2021-07-04
0000000278,000278,Developmental Check,2020-12-08
0000000279,000279,Case Management,2025-03-05
