Child DCN,Child MOSIS ID,RefProgramType.Description,EnrollmentDate,ServicePlanDate,ServicePlanEndDate,VisitingIndicator,NumberOfDaysInAttendance,RefStudentGradeLevel.Description,RefFundingSource.Descriptions
0000000015,000015,Home Visiting,2019-09-08,2019-09-16,2021-12-07,Yes,18,,Federal
0000000016,000016,Child Care,2021-03-04,2021-03-30,2021-08-16,No,83,,Local
0000000017,000017,First Steps,2022-02-18,2022-03-20,2023-02-07,No,48,Early Intervention,Private
0000000018,000018,Child Care,2018-09-28,2018-10-15,2020-10-16,No,52,,State
0000000018,000018,Early Head Start,2020-11-15,2020-12-09,2022-07-19,No,183,,Private
0000000018,000018,Head Start,2022-08-01,2022-08-05,2024-01-05,No,116,Pre-K,Local
0000000019,000019,Home Visiting,2022-07-23,2022-08-11,2023-01-01,Yes,3,,Local
0000000020,000020,First Steps,2022-01-14,2022-02-07,2023-08-27,No,44,Early Intervention,Local
0000000021,000021,Early Head Start,2022-10-01,2022-10-23,2024-11-23,No,154,,Local
0000000021,000021,Child Care,2022-11-22,2022-12-07,2026-08-24,No,63,,State
0000000021,000021,Early Intervention,2022-03-28,2022-04-24,2024-08-12,No,35,Early Intervention,State
0000000022,000022,Home Visiting,2019-08-05,2019-08-27,2020-05-05,Yes,24,,Federal
0000000022,000022,Childcare Subsidy,2020-05-09,2020-05-21,2022-02-27,No,40,,State
0000000023,000023,Home Visiting,2018-12-27,2019-01-24,2019-05-05,Yes,15,,Federal
0000000023,000023,First Steps,2019-09-30,2019-10-20,2020-09-27,No,13,Early Intervention,Federal
0000000024,000024,Early Intervention,2022-01-22,2022-01-24,2022-10-19,No,47,Early Intervention,Local
0000000024,000024,Early Head Start,2022-12-10,2022-12-19,2024-08-16,No,173,,Local
0000000025,000025,Early Intervention,2022-03-04,2022-03-18,2023-01-29,No,31,Early Intervention,Local
0000000025,000025,Childcare Subsidy,2023-02-05,2023-02-08,2023-10-04,No,147,,State
0000000026,000026,Child Care,2020-05-31,2020-06-01,2022-03-17,No,69,,Local
0000000026,000026,Early Intervention,2022-04-14,2022-04-27,2023-10-09,No,31,Early Intervention,Local
0000000027,000027,Childcare Subsidy,2020-04-23,2020-05-04,2022-02-03,No,54,,Private
0000000027,000027,Head Start,2022-05-17,2022-06-06,2023-10-09,No,119,Pre-K,Local
0000000028,000028,Early Head Start,2019-11-15,2019-11-18,2021-07-26,No,81,,Federal
0000000028,000028,State Pre-K,2021-08-12,2021-08-14,2023-01-21,No,169,Pre-K,Local
0000000028,000028,Childcare Subsidy,2023-01-31,2023-02-14,2023-09-05,No,89,,Federal
0000000029,000029,First Steps,2021-01-03,2021-01-06,2023-08-19,No,13,Early Intervention,State
0000000030,000030,Early Head Start,2020-04-27,2020-05-23,2021-05-03,No,139,,Local
0000000030,000030,First Steps,2021-05-18,2021-06-10,2023-01-14,No,36,Early Intervention,Private
0000000030,000030,Childcare Subsidy,2023-02-13,2023-03-08,2024-04-30,No,158,,Local
0000000031,000031,Early Head Start,2020-11-19,2020-11-29,2021-03-27,No,91,,Local
0000000032,000032,Childcare Subsidy,2020-09-02,2020-09-27,2022-07-20,No,140,,Local
0000000032,000032,Childcare Subsidy,2022-07-26,2022-08-18,2024-05-11,No,47,,Private
0000000032,000032,Early Intervention,2019-11-27,2019-12-12,2021-10-13,No,34,Early Intervention,Local
0000000033,000033,Child Care,2022-06-07,2022-06-25,2023-04-09,No,91,,Federal
0000000034,000034,Child Care,2020-03-22,2020-04-06,2021-06-16,No,69,,Federal
0000000034,000034,Early Head Start,2021-07-10,2021-08-01,2023-04-01,No,143,,Local
0000000034,000034,State Pre-K,2023-04-22,2023-05-04,2024-02-01,No,87,Pre-K,Local
0000000035,000035,Childcare Subsidy,2022-01-04,2022-01-31,2023-01-01,No,113,,Local
0000000036,000036,Early Intervention,2021-02-12,2021-02-20,2021-12-20,No,13,Early Intervention,State
0000000036,000036,Early Head Start,2022-01-19,2022-01-22,2022-08-18,No,79,,Federal
0000000036,000036,Early Intervention,2022-09-07,2022-10-07,2023-07-11,No,19,Early Intervention,Private
0000000037,000037,Early Head Start,2020-02-19,2020-02-22,2021-10-20,No,175,,Private
0000000037,000037,Head Start,2021-10-30,2021-11-27,2024-04-26,No,90,Pre-K,Private
0000000038,000038,Childcare Subsidy,2021-02-05,2021-02-09,2022-08-17,No,63,,Federal
0000000038,000038,Early Head Start,2022-08-29,2022-09-18,2024-09-14,No,134,,Local
0000000038,000038,Head Start,2024-10-14,2024-10-19,2025-12-22,No,100,Pre-K,Local
0000000039,000039,Early Head Start,2020-02-07,2020-02-14,2020-11-01,No,141,,Local
0000000039,000039,First Steps,2020-11-30,2020-12-29,2021-10-21,No,22,Early Intervention,State
0000000040,000040,Home Visiting,2022-08-28,2022-09-03,2025-01-02,Yes,16,,State
0000000040,000040,Child Care,2025-01-13,2025-02-04,2026-08-04,No,63,,State
0000000040,000040,Early Head Start,2022-02-04,2022-02-22,2025-01-05,No,79,,Federal
0000000040,000040,Head Start,2025-01-08,2025-01-14,2026-08-04,No,140,Pre-K,Local
0000000040,000040,Early Intervention,2022-02-04,2022-02-14,2024-10-14,No,37,Early Intervention,Local
0000000041,000041,Child Care,2021-12-13,2021-12-16,2024-05-01,No,57,,Federal
0000000041,000041,State Pre-K,2022-01-15,2022-01-30,2025-07-12,No,106,Pre-K,Local
0000000041,000041,Home Visiting,2021-01-12,2021-01-17,2023-12-09,Yes,22,,Local
0000000042,000042,Home Visiting,2020-09-13,2020-09-19,2021-08-22,Yes,5,,Private
0000000043,000043,Early Head Start,2019-02-23,2019-03-13,2020-06-03,No,197,,Federal
0000000044,000044,Child Care,2023-06-30,2023-07-18,2025-04-23,No,184,,Private
0000000044,000044,Childcare Subsidy,2023-08-17,2023-09-01,2026-12-27,No,47,,State
0000000044,000044,Home Visiting,2022-07-14,2022-08-04,2023-06-25,Yes,9,,Federal
0000000045,000045,First Steps,2020-08-28,2020-09-03,2022-05-12,No,22,Early Intervention,Federal
0000000046,000046,Child Care,2021-04-03,2021-04-24,2022-02-02,No,124,,Federal
0000000047,000047,Home Visiting,2023-05-25,2023-05-26,2025-02-03,Yes,8,,Private
0000000047,000047,Child Care,2025-02-27,2025-03-08,2026-05-24,No,58,,Private
0000000047,000047,Childcare Subsidy,2026-06-04,2026-06-08,2027-01-06,No,60,,Federal
0000000048,000048,Child Care,2021-08-02,2021-08-22,2022-04-04,No,186,,Local
0000000048,000048,First Steps,2022-06-01,2022-06-12,2024-05-24,No,11,Early Intervention,State
0000000048,000048,Child Care,2024-09-10,2024-09-11,2025-03-17,No,111,,Federal
0000000049,000049,Early Head Start,2023-01-29,2023-02-20,2025-03-25,No,94,,Private
0000000049,000049,Child Care,2025-03-28,2025-04-24,2027-03-03,No,130,,Local
0000000049,000049,Early Intervention,2022-09-03,2022-09-17,2024-11-24,No,49,Early Intervention,State
0000000050,000050,First Steps,2023-02-20,2023-02-23,2024-05-10,No,27,Early Intervention,State
0000000050,000050,First Steps,2024-07-08,2024-07-11,2025-02-05,No,26,Early Intervention,State
0000000051,000051,Home Visiting,2018-10-30,2018-11-15,2019-09-07,Yes,15,,Private
0000000052,000052,Early Intervention,2020-10-08,2020-10-14,2021-06-06,No,47,Early Intervention,Federal
0000000052,000052,Childcare Subsidy,2021-07-06,2021-08-01,2023-05-24,No,104,,Federal
0000000053,000053,Child Care,2022-06-20,2022-06-26,2024-12-06,No,145,,Federal
0000000054,000054,Child Care,2020-09-27,2020-10-05,2022-05-11,No,55,,Local
0000000054,000054,Childcare Subsidy,2022-06-03,2022-06-19,2024-04-02,No,92,,Federal
0000000054,000054,Head Start,2024-04-13,2024-05-09,2025-06-13,No,141,Pre-K,State
0000000055,000055,Home Visiting,2020-11-05,2020-11-23,2022-11-22,Yes,5,,Private
0000000055,000055,State Pre-K,2023-03-05,2023-04-01,2025-07-20,No,105,Pre-K,State
0000000055,000055,Childcare Subsidy,2021-01-20,2021-02-01,2022-05-16,No,169,,Federal
0000000056,000056,Childcare Subsidy,2020-05-02,2020-05-31,2022-12-22,No,202,,Local
0000000056,000056,Child Care,2023-01-21,2023-02-14,2023-12-02,No,209,,Federal
0000000056,000056,Child Care,2019-06-04,2019-06-20,2020-08-24,No,159,,Local
0000000057,000057,Childcare Subsidy,2021-03-14,2021-03-23,2022-03-26,No,123,,Private
0000000058,000058,Childcare Subsidy,2021-03-13,2021-03-20,2021-11-14,No,32,,Local
0000000058,000058,Home Visiting,2022-01-23,2022-02-22,2022-09-05,Yes,11,,State
0000000059,000059,Early Head Start,2020-08-28,2020-09-27,2022-06-24,No,132,,Federal
0000000060,000060,Childcare Subsidy,2020-01-27,2020-02-11,2022-06-13,No,157,,Federal
0000000061,000061,First Steps,2019-06-02,2019-06-24,2021-02-11,No,52,Early Intervention,Private
0000000062,000062,Early Head Start,2020-03-21,2020-04-17,2021-03-04,No,104,,State
0000000063,000063,Childcare Subsidy,2020-05-14,2020-06-05,2022-01-19,No,128,,Private
0000000063,000063,First Steps,2022-01-31,2022-02-20,2024-08-19,No,22,Early Intervention,State
0000000064,000064,Early Head Start,2020-09-23,2020-10-02,2021-11-11,No,173,,Local
0000000064,000064,Home Visiting,2022-02-14,2022-02-21,2023-09-11,Yes,18,,State
0000000065,000065,Home Visiting,2021-04-23,2021-05-05,2023-02-10,Yes,15,,Private
0000000066,000066,Early Head Start,2022-07-13,2022-08-12,2024-02-26,No,87,,Federal
0000000066,000066,Child Care,2024-05-19,2024-06-09,2025-09-02,No,164,,Federal
0000000067,000067,Childcare Subsidy,2022-12-12,2023-01-10,2024-05-25,No,61,,Local
0000000068,000068,Early Head Start,2021-04-20,2021-05-11,2023-11-06,No,156,,Federal
0000000069,000069,Early Head Start,2020-09-13,2020-10-02,2021-09-12,No,94,,State
0000000069,000069,Home Visiting,2021-09-22,2021-09-23,2022-12-31,Yes,16,,Local
0000000069,000069,Childcare Subsidy,2023-01-03,2023-01-14,2024-11-30,No,65,,Federal
0000000070,000070,Early Intervention,2020-08-21,2020-08-29,2021-12-19,No,9,Early Intervention,Local
0000000070,000070,Childcare Subsidy,2021-12-23,2022-01-02,2023-11-01,No,147,,State
0000000070,000070,First Steps,2019-10-16,2019-11-03,2021-03-21,No,14,Early Intervention,State
0000000070,000070,Childcare Subsidy,2021-03-25,2021-04-10,2021-11-03,No,136,,Federal
0000000070,000070,Head Start,2021-11-11,2021-11-23,2022-12-11,No,134,Pre-K,Local
0000000071,000071,First Steps,2021-11-03,2021-11-19,2023-08-29,No,30,Early Intervention,State
0000000071,000071,Childcare Subsidy,2023-11-21,2023-11-27,2025-05-05,No,143,,State
0000000072,000072,Early Intervention,2021-05-10,2021-05-16,2022-09-02,No,22,Early Intervention,Private
0000000072,000072,Child Care,2022-09-10,2022-09-21,2023-07-16,No,70,,Federal
0000000073,000073,Childcare Subsidy,2021-02-08,2021-03-06,2022-03-06,No,68,,State
0000000073,000073,Early Head Start,2021-04-05,2021-04-20,2023-03-12,No,133,,Private
0000000074,000074,First Steps,2019-12-19,2020-01-15,2021-02-02,No,10,Early Intervention,Private
0000000074,000074,Home Visiting,2021-02-21,2021-02-28,2023-01-13,Yes,13,,Private
0000000075,000075,Early Intervention,2021-01-19,2021-01-20,2023-12-10,No,42,Early Intervention,Federal
0000000075,000075,State Pre-K,2023-12-29,2024-01-15,2024-07-23,No,113,Pre-K,Private
0000000075,000075,Early Head Start,2020-01-24,2020-01-25,2021-01-25,No,91,,State
0000000075,000075,Childcare Subsidy,2021-01-30,2021-02-14,2023-08-04,No,157,,Federal
0000000076,000076,Child Care,2022-09-07,2022-09-20,2023-09-18,No,70,,State
0000000076,000076,Early Intervention,2023-10-01,2023-10-07,2024-12-05,No,22,Early Intervention,State
0000000076,000076,Childcare Subsidy,2024-12-23,2024-12-24,2026-05-12,No,164,,State
0000000077,000077,Early Intervention,2021-07-19,2021-07-27,2022-02-15,No,25,Early Intervention,State
0000000077,000077,Home Visiting,2021-08-26,2021-09-10,2022-07-02,Yes,14,,Local
0000000078,000078,First Steps,2019-03-13,2019-04-04,2020-07-13,No,24,Early Intervention,Private
0000000078,000078,Home Visiting,2020-07-30,2020-08-26,2022-03-05,Yes,20,,Federal
0000000078,000078,Head Start,2022-03-27,2022-04-12,2023-02-17,No,123,Pre-K,Private
0000000079,000079,Childcare Subsidy,2022-11-13,2022-12-02,2024-01-11,No,82,,Federal
0000000079,000079,Childcare Subsidy,2024-02-07,2024-02-19,2025-02-25,No,149,,Local
0000000080,000080,Childcare Subsidy,2022-03-05,2022-03-09,2024-06-07,No,186,,Private
0000000081,000081,Home Visiting,2019-11-17,2019-12-10,2020-08-21,Yes,12,,State
0000000081,000081,Childcare Subsidy,2021-01-06,2021-01-30,2022-01-10,No,114,,Private
0000000081,000081,Home Visiting,2022-06-04,2022-06-27,2023-03-20,Yes,6,,Private
0000000081,000081,State Pre-K,2023-08-27,2023-08-30,2024-02-12,No,116,Pre-K,Federal
0000000082,000082,Early Head Start,2022-04-17,2022-05-11,2023-10-14,No,180,,Local
0000000082,000082,Early Head Start,2022-06-10,2022-06-25,2025-10-23,No,128,,Federal
0000000082,000082,Childcare Subsidy,2025-10-25,2025-11-15,2026-06-23,No,46,,State
0000000083,000083,Childcare Subsidy,2019-11-14,2019-12-01,2020-04-19,No,40,,Local
0000000083,000083,Childcare Subsidy,2020-05-02,2020-05-20,2020-12-04,No,109,,Federal
0000000084,000084,First Steps,2020-12-16,2021-01-02,2021-12-26,No,49,Early Intervention,Local
0000000084,000084,Early Intervention,2022-04-12,2022-04-16,2023-02-06,No,43,Early Intervention,Private
0000000085,000085,First Steps,2019-03-14,2019-03-22,2022-03-01,No,16,Early Intervention,State
0000000085,000085,Head Start,2019-04-21,2019-05-06,2024-01-31,No,142,Pre-K,Federal
0000000086,000086,Early Intervention,2019-08-10,2019-08-22,2020-02-13,No,28,Early Intervention,State
0000000087,000087,First Steps,2022-10-15,2022-10-19,2024-03-16,No,27,Early Intervention,Private
0000000087,000087,Childcare Subsidy,2024-04-02,2024-04-04,2026-07-21,No,111,,Local
0000000087,000087,Childcare Subsidy,2022-01-21,2022-02-11,2023-08-21,No,153,,Local
0000000088,000088,Child Care,2020-08-27,2020-09-22,2023-01-08,No,182,,Local
0000000088,000088,Childcare Subsidy,2023-02-03,2023-02-19,2024-04-15,No,177,,State
0000000089,000089,Childcare Subsidy,2022-11-11,2022-12-01,2025-05-07,No,109,,Federal
0000000090,000090,First Steps,2022-07-29,2022-08-24,2023-11-05,No,21,Early Intervention,Private
0000000091,000091,Child Care,2021-12-04,2021-12-29,2024-02-10,No,183,,Federal
0000000092,000092,Childcare Subsidy,2020-05-02,2020-05-18,2021-03-07,No,63,,State
0000000092,000092,Childcare Subsidy,2021-07-13,2021-08-03,2021-12-16,No,106,,State
0000000092,000092,Childcare Subsidy,2022-03-17,2022-03-30,2023-01-24,No,41,,State
0000000093,000093,Childcare Subsidy,2023-05-09,2023-05-28,2025-04-27,No,178,,State
0000000094,000094,Childcare Subsidy,2019-02-23,2019-03-11,2020-07-01,No,90,,State
0000000095,000095,First Steps,2020-09-06,2020-10-02,2022-09-09,No,30,Early Intervention,Federal
0000000095,000095,Child Care,2022-11-22,2022-12-20,2024-12-07,No,108,,Private
0000000096,000096,First Steps,2021-06-14,2021-06-27,2022-05-28,No,25,Early Intervention,Local
0000000096,000096,Early Intervention,2021-07-27,2021-08-11,2023-05-26,No,47,Early Intervention,Federal
0000000097,000097,Early Intervention,2019-05-21,2019-06-01,2022-01-01,No,37,Early Intervention,Federal
0000000097,000097,State Pre-K,2022-01-08,2022-01-26,2023-12-10,No,125,Pre-K,Federal
0000000098,000098,Early Head Start,2019-11-16,2019-12-14,2022-11-13,No,136,,Federal
0000000099,000099,Early Head Start,2021-11-18,2021-12-07,2023-09-20,No,91,,State
0000000100,000100,Early Head Start,2021-10-29,2021-11-09,2024-01-24,No,217,,Private
0000000100,000100,Child Care,2024-04-12,2024-04-29,2026-08-19,No,97,,Federal
0000000101,000101,Early Intervention,2020-12-02,2021-01-01,2022-07-04,No,23,Early Intervention,Private
0000000102,000102,Home Visiting,2019-06-06,2019-06-30,2021-02-05,Yes,7,,Local
0000000102,000102,First Steps,2021-02-12,2021-03-02,2024-02-19,No,15,Early Intervention,Private
0000000103,000103,Home Visiting,2021-07-04,2021-07-09,2022-01-06,Yes,16,,Private
0000000103,000103,Home Visiting,2022-01-09,2022-02-04,2023-01-26,Yes,10,,Local
0000000103,000103,Child Care,2023-02-19,2023-02-22,2023-05-20,No,60,,State
0000000103,000103,Child Care,2023-06-15,2023-07-08,2023-10-21,No,88,,Federal
0000000103,000103,Childcare Subsidy,2023-11-15,2023-12-08,2024-09-21,No,60,,Federal
0000000104,000104,Early Head Start,2021-05-11,2021-05-25,2022-06-28,No,141,,Local
0000000105,000105,Early Head Start,2018-10-19,2018-10-27,2019-10-11,No,142,,State
0000000106,000106,Home Visiting,2023-08-24,2023-09-06,2025-12-21,Yes,19,,State
0000000106,000106,State Pre-K,2026-01-02,2026-01-12,2027-05-20,No,119,Pre-K,Federal
0000000107,000107,Childcare Subsidy,2020-06-25,2020-07-21,2021-07-28,No,67,,Local
0000000108,000108,Early Intervention,2019-06-27,2019-07-27,2020-11-17,No,10,Early Intervention,Local
0000000108,000108,Child Care,2020-12-01,2020-12-29,2023-05-12,No,134,,Private
0000000108,000108,First Steps,2019-03-16,2019-03-18,2021-04-01,No,51,Early Intervention,Federal
0000000109,000109,First Steps,2019-12-21,2020-01-08,2021-04-04,No,32,Early Intervention,Federal
0000000110,000110,Early Intervention,2022-06-28,2022-06-29,2023-03-11,No,19,Early Intervention,Private
0000000110,000110,Child Care,2023-08-23,2023-09-04,2024-02-06,No,114,,Local
0000000111,000111,Childcare Subsidy,2019-08-07,2019-08-14,2020-03-16,No,138,,Federal
0000000111,000111,Childcare Subsidy,2020-03-20,2020-04-17,2020-12-13,No,50,,Private
0000000112,000112,Childcare Subsidy,2020-06-20,2020-06-28,2021-08-19,No,49,,Private
0000000113,000113,Home Visiting,2019-06-17,2019-06-24,2019-09-16,Yes,7,,Federal
0000000113,000113,First Steps,2019-09-24,2019-10-02,2020-07-19,No,30,Early Intervention,Local
0000000114,000114,Childcare Subsidy,2020-01-31,2020-02-22,2021-06-13,No,145,,Local
0000000115,000115,First Steps,2021-07-11,2021-07-27,2022-09-15,No,50,Early Intervention,State
0000000115,000115,First Steps,2022-12-23,2023-01-20,2024-03-24,No,33,Early Intervention,Private
0000000116,000116,Childcare Subsidy,2022-10-25,2022-10-30,2024-11-21,No,84,,Local
0000000116,000116,Childcare Subsidy,2025-02-04,2025-02-23,2026-12-17,No,184,,Federal
0000000117,000117,Home Visiting,2019-09-11,2019-09-29,2021-10-21,Yes,16,,State
0000000117,000117,Childcare Subsidy,2021-11-11,2021-12-03,2024-05-25,No,92,,Private
0000000118,000118,Early Head Start,2021-03-24,2021-04-18,2023-06-25,No,185,,Federal
0000000119,000119,Early Head Start,2021-10-09,2021-10-21,2022-03-24,No,73,,Local
0000000119,000119,Home Visiting,2022-08-31,2022-09-28,2022-11-30,Yes,3,,Local
0000000120,000120,First Steps,2021-02-07,2021-02-23,2022-10-25,No,28,Early Intervention,Private
0000000120,000120,Early Head Start,2022-10-26,2022-11-25,2024-10-29,No,58,,Local
0000000120,000120,Head Start,2024-11-22,2024-12-02,2025-08-05,No,94,Pre-K,Local
0000000120,000120,First Steps,2021-08-01,2021-08-22,2022-10-28,No,32,Early Intervention,Private
0000000121,000121,Childcare Subsidy,2020-08-07,2020-08-23,2023-06-05,No,110,,State
0000000121,000121,Head Start,2023-07-04,2023-07-25,2025-03-04,No,80,Pre-K,Federal
0000000122,000122,Early Intervention,2019-12-21,2020-01-07,2022-05-17,No,9,Early Intervention,Federal
0000000122,000122,Head Start,2022-06-07,2022-06-24,2023-07-01,No,131,Pre-K,Local
0000000123,000123,Childcare Subsidy,2022-05-03,2022-05-25,2023-07-11,No,179,,Private
0000000123,000123,Home Visiting,2022-06-24,2022-07-09,2025-03-06,Yes,9,,State
0000000124,000124,Early Head Start,2019-07-23,2019-07-30,2021-11-01,No,76,,Local
0000000124,000124,Childcare Subsidy,2021-11-10,2021-12-09,2023-08-31,No,78,,State
0000000125,000125,Home Visiting,2022-03-13,2022-03-14,2024-01-28,Yes,27,,Federal
0000000125,000125,Head Start,2024-02-16,2024-02-29,2025-11-14,No,153,Pre-K,Local
0000000125,000125,Childcare Subsidy,2021-05-17,2021-05-31,2023-08-19,No,84,,Local
0000000126,000126,First Steps,2020-01-15,2020-02-11,2021-05-16,No,11,Early Intervention,Local
0000000126,000126,State Pre-K,2021-05-25,2021-06-21,2022-07-28,No,96,Pre-K,Federal
0000000126,000126,State Pre-K,2022-08-24,2022-09-14,2023-09-06,No,106,Pre-K,Local
0000000127,000127,First Steps,2021-05-30,2021-06-04,2022-03-31,No,49,Early Intervention,Federal
0000000127,000127,Child Care,2022-05-09,2022-05-17,2023-07-24,No,101,,State
0000000127,000127,Child Care,2023-09-15,2023-10-05,2025-09-28,No,50,,Local
0000000128,000128,Home Visiting,2021-07-07,2021-07-15,2023-02-08,Yes,16,,State
0000000128,000128,Child Care,2023-03-04,2023-03-17,2024-04-02,No,105,,Federal
0000000128,000128,Head Start,2024-04-22,2024-05-05,2024-12-15,No,122,Pre-K,Federal
0000000129,000129,Child Care,2020-08-06,2020-08-31,2021-01-22,No,124,,State
0000000130,000130,Home Visiting,2022-06-28,2022-07-17,2024-04-15,Yes,24,,Federal
0000000131,000131,Childcare Subsidy,2021-07-18,2021-08-09,2023-03-05,No,120,,State
0000000131,000131,Home Visiting,2023-03-29,2023-04-20,2024-08-16,Yes,8,,Federal
0000000132,000132,Child Care,2022-04-29,2022-05-20,2023-11-24,No,170,,Private
0000000132,000132,Early Intervention,2023-12-23,2024-01-15,2025-05-02,No,20,Early Intervention,Private
0000000133,000133,Child Care,2022-11-26,2022-12-21,2023-09-29,No,45,,State
0000000133,000133,First Steps,2023-10-16,2023-10-22,2024-09-11,No,22,Early Intervention,State
0000000134,000134,Childcare Subsidy,2019-12-28,2019-12-30,2021-06-14,No,180,,Local
0000000134,000134,State Pre-K,2021-07-05,2021-07-22,2022-05-03,No,99,Pre-K,Local
0000000134,000134,State Pre-K,2022-05-12,2022-05-19,2022-12-03,No,106,Pre-K,State
0000000135,000135,Home Visiting,2021-11-15,2021-11-27,2024-05-16,Yes,6,,Private
0000000135,000135,Head Start,2024-05-17,2024-05-20,2026-02-21,No,157,Pre-K,Private
0000000136,000136,Home Visiting,2020-09-13,2020-10-01,2022-05-27,Yes,20,,Federal
0000000137,000137,First Steps,2019-05-20,2019-06-19,2020-08-05,No,41,Early Intervention,Federal
0000000137,000137,First Steps,2020-09-02,2020-09-25,2022-07-04,No,41,Early Intervention,Local
0000000137,000137,Child Care,2022-07-18,2022-08-16,2023-08-16,No,132,,State
0000000138,000138,Child Care,2022-03-15,2022-04-11,2024-01-03,No,50,,Federal
0000000138,000138,Head Start,2024-01-17,2024-01-19,2025-08-17,No,88,Pre-K,Federal
0000000139,000139,Early Intervention,2020-02-27,2020-03-10,2020-10-12,No,24,Early Intervention,Federal
0000000139,000139,Home Visiting,2020-11-01,2020-11-02,2021-05-23,Yes,18,,Local
0000000140,000140,Early Intervention,2021-01-28,2021-02-22,2021-06-25,No,16,Early Intervention,Federal
0000000141,000141,First Steps,2018-11-25,2018-12-03,2019-09-08,No,21,Early Intervention,Federal
0000000142,000142,Early Head Start,2022-10-22,2022-11-14,2025-06-02,No,123,,Federal
0000000143,000143,Early Intervention,2021-12-19,2022-01-15,2023-02-04,No,40,Early Intervention,State
0000000143,000143,Early Head Start,2023-05-16,2023-06-01,2025-10-13,No,65,,Private
0000000143,000143,Early Intervention,2021-06-27,2021-07-17,2023-12-22,No,24,Early Intervention,Local
0000000144,000144,Child Care,2018-09-17,2018-09-28,2019-02-10,No,40,,State
0000000144,000144,Early Intervention,2018-10-28,2018-11-12,2019-12-16,No,23,Early Intervention,Local
0000000145,000145,Child Care,2022-04-16,2022-04-22,2023-01-11,No,161,,Private
0000000146,000146,First Steps,2018-11-23,2018-12-17,2020-01-16,No,13,Early Intervention,Local
0000000146,000146,Early Head Start,2020-02-14,2020-02-27,2020-10-26,No,57,,Local
0000000147,000147,Childcare Subsidy,2018-08-28,2018-09-07,2020-05-27,No,60,,Private
0000000148,000148,Early Intervention,2022-08-22,2022-09-19,2023-05-28,No,25,Early Intervention,State
0000000148,000148,First Steps,2023-06-24,2023-07-01,2024-02-06,No,22,Early Intervention,Federal
0000000149,000149,Early Head Start,2021-03-29,2021-04-20,2023-02-05,No,92,,Federal
0000000150,000150,Early Head Start,2021-01-15,2021-01-24,2021-09-09,No,86,,Private
