Child DCN,Child MOSIS ID,RefProgramType.Description,EnrollmentDate,ServicePlanDate,ServicePlanEndDate,VisitingIndicator,NumberOfDaysInAttendance,RefStudentGradeLevel.Description,RefFundingSource.Descriptions
0000000041,000041,Child Care,2020-06-01,2020-06-16,2025-02-19,No,132,,Federal
0000000041,000041,First Steps,2021-01-12,2021-02-01,2022-11-28,No,47,Early Intervention,Private
0000000042,000042,Home Visiting,2020-10-19,2020-11-05,2021-06-07,Yes,14,,Local
0000000042,000042,Early Head Start,2021-06-12,2021-06-20,2021-10-04,No,84,,State
0000000042,000042,Early Head Start,2021-10-10,2021-11-06,2022-10-24,No,59,,State
0000000043,000043,Early Intervention,2019-12-01,2019-12-24,2021-07-08,No,12,Early Intervention,Private
0000000043,000043,Childcare Subsidy,2021-08-01,2021-08-29,2023-07-16,No,43,,Private
0000000043,000043,Home Visiting,2019-01-16,2019-01-31,2021-04-25,Yes,16,,Local
0000000043,000043,Child Care,2021-05-23,2021-05-27,2023-07-16,No,131,,Local
0000000044,000044,Home Visiting,2021-11-27,2021-11-29,2023-06-01,Yes,7,,Federal
0000000044,000044,Childcare Subsidy,2023-06-20,2023-06-28,2024-04-10,No,151,,Private
0000000044,000044,Child Care,2024-05-03,2024-05-22,2025-09-22,No,148,,Federal
0000000045,000045,Childcare Subsidy,2020-08-20,2020-09-13,2022-07-03,No,148,,State
0000000045,000045,Childcare Subsidy,2022-10-19,2022-10-25,2023-10-12,No,96,,Private
0000000046,000046,First Steps,2020-09-26,2020-09-28,2021-05-11,No,14,Early Intervention,State
0000000047,000047,Childcare Subsidy,2022-05-30,2022-06-03,2023-02-12,No,175,,Local
0000000047,000047,Home Visiting,2023-05-07,2023-05-31,2023-12-01,Yes,3,,State
0000000047,000047,Childcare Subsidy,2024-01-14,2024-02-07,2024-10-17,No,70,,Federal
0000000048,000048,Home Visiting,2021-04-05,2021-04-17,2021-12-29,Yes,8,,Local
0000000049,000049,Home Visiting,2022-01-20,2022-02-10,2023-04-12,Yes,14,,Private
0000000050,000050,Childcare Subsidy,2022-03-07,2022-03-25,2023-08-09,No,116,,Local
0000000050,000050,First Steps,2023-09-04,2023-09-08,2024-07-07,No,19,Early Intervention,State
0000000050,000050,Child Care,2024-07-10,2024-07-24,2025-10-08,No,158,,Local
0000000050,000050,Head Start,2025-10-16,2025-11-06,2027-04-12,No,98,Pre-K,State
0000000050,000050,Childcare Subsidy,2022-11-19,2022-12-13,2023-12-19,No,59,,Federal
0000000051,000051,Early Head Start,2020-04-21,2020-05-06,2021-05-03,No,43,,Private
0000000052,000052,Early Intervention,2020-02-04,2020-02-08,2020-11-19,No,23,Early Intervention,State
0000000052,000052,Childcare Subsidy,2020-11-21,2020-12-08,2022-01-08,No,183,,Private
0000000053,000053,Childcare Subsidy,2023-01-11,2023-01-12,2025-02-15,No,75,,Private
0000000053,000053,Child Care,2023-02-11,2023-02-26,2026-11-11,No,192,,Local
0000000053,000053,Early Head Start,2022-09-12,2022-10-02,2024-05-20,No,141,,State
0000000054,000054,First Steps,2020-03-29,2020-04-13,2021-07-28,No,10,Early Intervention,State
0000000055,000055,Childcare Subsidy,2020-11-21,2020-12-09,2022-05-14,No,82,,Private
0000000055,000055,Early Intervention,2022-05-23,2022-06-11,2023-08-09,No,46,Early Intervention,Private
0000000056,000056,Home Visiting,2019-03-15,2019-03-23,2021-04-14,Yes,9,,Local
0000000057,000057,Early Head Start,2021-05-14,2021-05-20,2024-02-20,No,74,,State
0000000057,000057,Childcare Subsidy,2024-03-24,2024-04-05,2025-05-17,No,151,,Private
0000000058,000058,Early Intervention,2021-05-13,2021-06-04,2021-09-26,No,36,Early Intervention,Federal
0000000058,000058,Home Visiting,2021-10-07,2021-11-05,2022-04-02,Yes,11,,Private
0000000058,000058,Home Visiting,2022-04-17,2022-04-18,2022-12-28,Yes,16,,Private
0000000058,000058,Home Visiting,2023-01-13,2023-01-23,2023-08-20,Yes,22,,Local
0000000059,000059,Early Head Start,2020-11-21,2020-12-21,2023-04-03,No,191,,Federal
0000000059,000059,Childcare Subsidy,2021-01-20,2021-02-04,2024-07-10,No,149,,Federal
0000000059,000059,Early Intervention,2020-01-11,2020-01-31,2021-04-01,No,36,Early Intervention,Federal
0000000060,000060,Early Head Start,2019-10-29,2019-11-16,2021-12-29,No,205,,Local
0000000061,000061,Childcare Subsidy,2020-12-31,2021-01-22,2021-09-16,No,56,,Federal
0000000061,000061,Childcare Subsidy,2021-02-21,2021-03-08,2023-03-25,No,99,,Private
0000000061,000061,Child Care,2023-05-21,2023-06-14,2024-06-08,No,126,,Private
0000000062,000062,Early Intervention,2018-06-27,2018-07-01,2018-10-14,No,42,Early Intervention,State
0000000063,000063,Childcare Subsidy,2021-02-02,2021-02-04,2023-09-28,No,104,,State
0000000063,000063,Childcare Subsidy,2023-10-27,2023-11-03,2024-09-04,No,52,,Federal
0000000063,000063,Child Care,2020-03-07,2020-03-16,2021-11-15,No,130,,State
0000000064,000064,Childcare Subsidy,2019-08-29,2019-09-16,2020-08-24,No,48,,Private
0000000064,000064,Early Head Start,2020-09-18,2020-10-14,2021-06-11,No,61,,Federal
0000000065,000065,Home Visiting,2022-07-13,2022-08-01,2025-07-30,Yes,12,,Federal
0000000066,000066,First Steps,2022-01-15,2022-02-01,2023-07-19,No,38,Early Intervention,Private
0000000066,000066,Early Head Start,2023-07-25,2023-08-07,2024-09-10,No,133,,Local
0000000067,000067,Childcare Subsidy,2022-08-08,2022-09-02,2023-03-03,No,175,,Federal
0000000067,000067,Child Care,2022-10-02,2022-10-17,2025-04-30,No,141,,Private
0000000068,000068,Childcare Subsidy,2021-07-07,2021-07-22,2023-02-12,No,58,,Private
0000000068,000068,Head Start,2023-02-17,2023-03-18,2024-10-18,No,85,Pre-K,Private
0000000069,000069,First Steps,2021-03-19,2021-04-09,2021-12-21,No,30,Early Intervention,Federal
0000000069,000069,Childcare Subsidy,2022-01-16,2022-02-02,2023-11-06,No,135,,Local
0000000069,000069,Child Care,2023-11-12,2023-11-21,2024-12-17,No,52,,Local
0000000070,000070,Childcare Subsidy,2020-09-27,2020-10-11,2021-08-22,No,104,,Local
0000000070,000070,Home Visiting,2021-08-29,2021-09-09,2022-04-20,Yes,15,,Local
0000000071,000071,Child Care,2021-09-17,2021-10-02,2023-06-09,No,58,,State
0000000071,000071,Childcare Subsidy,2023-06-13,2023-06-30,2025-08-11,No,202,,Local
0000000071,000071,Childcare Subsidy,2025-08-29,2025-08-31,2026-05-16,No,108,,Private
0000000072,000072,Childcare Subsidy,2020-08-22,2020-09-18,2021-03-17,No,61,,Federal
0000000073,000073,Early Head Start,2021-01-16,2021-01-24,2021-12-30,No,148,,Private
0000000074,000074,Early Head Start,2020-01-06,2020-01-25,2020-11-26,No,90,,Local
0000000074,000074,Childcare Subsidy,2020-11-28,2020-12-23,2021-12-04,No,74,,State
0000000075,000075,Home Visiting,2020-05-19,2020-06-13,2022-06-15,Yes,10,,Private
0000000076,000076,Childcare Subsidy,2021-11-28,2021-12-07,2023-02-04,No,73,,Private
0000000077,000077,Child Care,2021-07-23,2021-08-19,2022-07-30,No,40,,Local
0000000077,000077,Child Care,2022-12-15,2022-12-29,2023-07-12,No,118,,Private
0000000078,000078,First Steps,2019-11-16,2019-12-03,2021-10-27,No,14,Early Intervention,Federal
0000000079,000079,First Steps,2021-09-02,2021-09-16,2023-05-21,No,50,Early Intervention,Private
0000000079,000079,Early Head Start,2023-08-22,2023-09-05,2024-08-21,No,186,,State
0000000080,000080,Childcare Subsidy,2023-07-29,2023-08-07,2026-02-01,No,82,,Private
0000000080,000080,Childcare Subsidy,2026-02-07,2026-03-04,2027-04-24,No,57,,Local
0000000081,000081,Early Intervention,2021-06-05,2021-06-27,2021-12-20,No,19,Early Intervention,Local
0000000081,000081,Childcare Subsidy,2022-06-10,2022-07-03,2023-04-17,No,117,,Federal
0000000081,000081,State Pre-K,2023-09-05,2023-09-29,2024-07-18,No,75,Pre-K,Federal
0000000082,000082,First Steps,2023-05-15,2023-05-19,2024-09-19,No,26,Early Intervention,Federal
0000000082,000082,Child Care,2024-10-06,2024-10-14,2026-01-18,No,178,,Federal
0000000083,000083,Child Care,2020-11-01,2020-11-18,2021-07-20,No,92,,Federal
0000000084,000084,First Steps,2021-05-09,2021-05-12,2022-01-20,No,46,Early Intervention,Local
0000000084,000084,Childcare Subsidy,2022-01-24,2022-02-08,2023-08-26,No,166,,Local
0000000085,000085,Home Visiting,2020-03-31,2020-04-27,2022-05-12,Yes,24,,State
0000000085,000085,State Pre-K,2022-08-22,2022-09-17,2024-03-01,No,90,Pre-K,Local
0000000086,000086,Early Intervention,2018-11-09,2018-12-01,2019-11-06,No,15,Early Intervention,Private
0000000086,000086,Child Care,2019-11-07,2019-11-21,2020-11-14,No,64,,Local
0000000087,000087,Home Visiting,2021-03-22,2021-03-29,2023-12-20,Yes,21,,State
0000000087,000087,Early Head Start,2024-01-17,2024-01-26,2025-09-28,No,72,,Local
0000000088,000088,Home Visiting,2021-08-21,2021-08-31,2023-10-19,Yes,26,,State
0000000088,000088,Head Start,2023-11-09,2023-12-03,2025-04-03,No,81,Pre-K,Local
0000000089,000089,Early Head Start,2022-11-30,2022-12-22,2025-12-03,No,172,,Local
0000000089,000089,Child Care,2025-12-10,2025-12-26,2027-02-05,No,122,,Federal
0000000090,000090,Early Head Start,2023-08-08,2023-09-02,2024-11-13,No,92,,Private
0000000090,000090,State Pre-K,2025-03-09,2025-04-05,2026-11-02,No,93,Pre-K,Local
0000000091,000091,Early Intervention,2022-04-10,2022-05-04,2024-12-22,No,38,Early Intervention,Federal
0000000091,000091,State Pre-K,2025-02-02,2025-02-03,2026-11-02,No,76,Pre-K,Private
0000000091,000091,Home Visiting,2022-05-14,2022-05-17,2024-12-15,Yes,22,,Private
0000000092,000092,Home Visiting,2020-04-08,2020-05-05,2020-11-06,Yes,14,,State
0000000092,000092,First Steps,2021-04-08,2021-04-21,2021-10-03,No,30,Early Intervention,Federal
0000000093,000093,Early Intervention,2023-03-05,2023-03-31,2025-08-09,No,30,Early Intervention,Local
0000000094,000094,Early Head Start,2020-02-22,2020-03-16,2022-04-19,No,107,,Federal
0000000095,000095,First Steps,2020-02-16,2020-03-12,2021-04-29,No,36,Early Intervention,Local
0000000095,000095,Childcare Subsidy,2020-04-11,2020-04-26,2022-11-04,No,191,,Private
0000000096,000096,Child Care,2020-04-01,2020-04-14,2021-03-19,No,123,,Private
0000000097,000097,Child Care,2019-01-22,2019-02-09,2020-10-11,No,121,,Local
0000000097,000097,Childcare Subsidy,2020-10-22,2020-11-09,2022-03-18,No,143,,Private
0000000098,000098,Early Head Start,2020-05-22,2020-05-28,2021-10-14,No,115,,State
0000000099,000099,Early Intervention,2022-12-07,2022-12-26,2023-11-12,No,37,Early Intervention,State
0000000099,000099,Early Head Start,2023-12-02,2023-12-09,2024-10-06,No,79,,Local
0000000100,000100,First Steps,2021-07-02,2021-07-24,2023-04-07,No,35,Early Intervention,State
0000000100,000100,First Steps,2023-04-10,2023-05-02,2024-07-20,No,39,Early Intervention,Local
0000000101,000101,Child Care,2020-05-29,2020-06-14,2022-02-12,No,133,,State
0000000102,000102,Home Visiting,2019-05-13,2019-06-03,2022-04-23,Yes,22,,State
0000000103,000103,Early Intervention,2021-11-20,2021-12-05,2022-02-16,No,31,Early Intervention,Federal
0000000104,000104,Home Visiting,2022-12-06,2023-01-02,2023-09-29,Yes,23,,State
0000000104,000104,Early Intervention,2023-02-01,2023-02-16,2025-06-10,No,30,Early Intervention,Federal
0000000104,000104,Head Start,2025-06-28,2025-07-15,2026-08-08,No,103,Pre-K,Local
0000000105,000105,Childcare Subsidy,2018-07-20,2018-07-24,2018-09-29,No,101,,State
0000000106,000106,Early Intervention,2023-09-19,2023-10-17,2025-01-25,No,41,Early Intervention,Local
0000000106,000106,Childcare Subsidy,2025-02-20,2025-03-08,2027-01-07,No,53,,Private
0000000106,000106,Childcare Subsidy,2022-11-20,2022-12-10,2025-07-12,No,128,,Federal
0000000107,000107,First Steps,2020-10-27,2020-11-10,2022-01-04,No,31,Early Intervention,Private
0000000107,000107,Early Head Start,2022-01-05,2022-02-03,2023-09-20,No,97,,State
0000000108,000108,First Steps,2019-07-03,2019-07-08,2021-01-09,No,25,Early Intervention,State
0000000108,000108,State Pre-K,2021-04-08,2021-04-09,2023-06-29,No,125,Pre-K,Private
0000000109,000109,Early Head Start,2019-12-27,2020-01-13,2021-11-17,No,142,,Private
0000000110,000110,Childcare Subsidy,2022-01-19,2022-02-09,2023-01-25,No,112,,Federal
0000000110,000110,Child Care,2023-02-13,2023-02-26,2023-07-12,No,132,,Federal
0000000110,000110,Child Care,2023-07-17,2023-07-24,2023-11-18,No,122,,State
0000000111,000111,Childcare Subsidy,2018-09-07,2018-09-13,2020-07-24,No,149,,Local
0000000112,000112,Early Head Start,2020-05-27,2020-06-13,2023-01-09,No,132,,Private
0000000112,000112,Head Start,2023-02-14,2023-03-04,2024-01-19,No,85,Pre-K,Federal
0000000112,000112,Early Head Start,2019-07-22,2019-08-17,2021-04-04,No,54,,Local
0000000113,000113,First Steps,2018-07-16,2018-08-01,2019-03-13,No,11,Early Intervention,Federal
0000000113,000113,Child Care,2019-07-11,2019-07-22,2019-12-27,No,73,,Private
0000000114,000114,Early Head Start,2018-12-04,2018-12-10,2020-02-14,No,184,,State
0000000114,000114,Child Care,2020-03-13,2020-03-19,2021-03-19,No,54,,Local
0000000115,000115,Home Visiting,2022-05-22,2022-05-23,2025-02-08,Yes,25,,Federal
0000000115,000115,State Pre-K,2025-05-21,2025-06-06,2026-09-09,No,141,Pre-K,Private
0000000116,000116,Child Care,2022-10-05,2022-10-16,2024-11-18,No,47,,Local
0000000116,000116,State Pre-K,2025-01-18,2025-01-26,2026-08-21,No,78,Pre-K,Federal
0000000117,000117,Childcare Subsidy,2020-06-08,2020-06-28,2022-11-02,No,55,,State
0000000118,000118,First Steps,2019-07-04,2019-07-17,2021-05-24,No,26,Early Intervention,Local
0000000118,000118,First Steps,2021-06-13,2021-06-16,2024-02-18,No,33,Early Intervention,Federal
0000000118,000118,Head Start,2024-02-20,2024-03-14,2024-11-29,No,122,Pre-K,Private
0000000119,000119,Childcare Subsidy,2021-10-20,2021-11-10,2022-10-15,No,37,,Private
0000000120,000120,Child Care,2022-02-09,2022-02-28,2023-07-19,No,188,,Local
0000000120,000120,Childcare Subsidy,2022-03-30,2022-04-14,2024-04-11,No,193,,Private
0000000121,000121,Early Intervention,2020-07-16,2020-08-02,2022-07-07,No,44,Early Intervention,Federal
0000000121,000121,Early Intervention,2022-10-25,2022-11-19,2025-08-22,No,41,Early Intervention,Federal
0000000122,000122,Child Care,2019-05-17,2019-06-10,2022-05-01,No,158,,Local
0000000122,000122,Head Start,2022-08-03,2022-08-20,2024-01-16,No,150,Pre-K,Local
0000000123,000123,Childcare Subsidy,2021-07-10,2021-08-02,2024-07-31,No,133,,Federal
0000000124,000124,Childcare Subsidy,2020-01-24,2020-02-07,2022-04-18,No,64,,State
0000000124,000124,Head Start,2022-05-11,2022-05-17,2024-03-18,No,119,Pre-K,Local
0000000124,000124,Early Head Start,2019-09-19,2019-10-07,2022-08-24,No,165,,Local
0000000125,000125,Childcare Subsidy,2021-08-30,2021-09-29,2022-10-29,No,87,,State
0000000125,000125,Child Care,2021-10-29,2021-11-13,2024-04-14,No,134,,Federal
0000000126,000126,Early Intervention,2018-10-31,2018-11-17,2020-01-25,No,42,Early Intervention,Local
0000000127,000127,First Steps,2021-10-25,2021-11-09,2023-09-15,No,34,Early Intervention,Federal
0000000128,000128,Child Care,2021-03-02,2021-04-01,2022-04-14,No,51,,Private
0000000128,000128,Child Care,2022-05-01,2022-05-09,2023-11-13,No,104,,State
0000000128,000128,Home Visiting,2023-12-05,2023-12-06,2025-04-16,Yes,12,,Local
0000000129,000129,Early Intervention,2021-03-18,2021-04-10,2021-12-03,No,39,Early Intervention,Federal
0000000130,000130,Early Intervention,2023-08-09,2023-08-25,2024-06-01,No,23,Early Intervention,Private
0000000130,000130,Child Care,2024-07-28,2024-08-20,2026-05-24,No,153,,Private
0000000131,000131,First Steps,2021-06-11,2021-07-08,2022-06-14,No,21,Early Intervention,Federal
0000000132,000132,First Steps,2021-10-17,2021-11-11,2023-06-21,No,49,Early Intervention,Local
0000000132,000132,Early Head Start,2021-12-11,2021-12-26,2024-09-19,No,142,,Private
0000000133,000133,First Steps,2022-01-12,2022-02-09,2022-06-06,No,19,Early Intervention,Local
0000000134,000134,Childcare Subsidy,2019-07-04,2019-07-10,2021-03-18,No,171,,Federal
0000000134,000134,State Pre-K,2021-07-13,2021-07-24,2022-02-04,No,82,Pre-K,Federal
0000000135,000135,Early Intervention,2020-10-10,2020-10-20,2023-05-02,No,28,Early Intervention,Federal
0000000136,000136,Childcare Subsidy,2018-11-21,2018-12-17,2020-05-06,No,57,,State
0000000137,000137,Childcare Subsidy,2019-10-09,2019-10-17,2022-10-06,No,138,,Federal
0000000137,000137,Child Care,2022-10-23,2022-10-29,2023-08-16,No,51,,Local
0000000138,000138,Early Intervention,2022-08-28,2022-09-23,2023-07-07,No,34,Early Intervention,Private
0000000139,000139,Childcare Subsidy,2020-11-07,2020-11-29,2021-05-16,No,88,,Local
0000000139,000139,Home Visiting,2020-12-29,2021-01-13,2022-05-25,Yes,16,,Federal
0000000139,000139,State Pre-K,2022-06-22,2022-07-15,2023-02-21,No,67,Pre-K,Federal
0000000139,000139,Head Start,2023-03-04,2023-03-11,2024-02-23,No,128,Pre-K,Federal
0000000139,000139,First Steps,2020-02-13,2020-03-07,2020-08-22,No,19,Early Intervention,Private
0000000140,000140,Home Visiting,2021-07-08,2021-07-28,2022-05-24,Yes,16,,Federal
0000000140,000140,Child Care,2022-06-19,2022-06-29,2022-11-02,No,59,,Federal
0000000141,000141,Child Care,2019-07-26,2019-08-06,2020-06-25,No,106,,Federal
0000000141,000141,First Steps,2020-07-11,2020-07-29,2021-02-17,No,10,Early Intervention,Private
0000000142,000142,Child Care,2022-08-28,2022-09-03,2025-07-03,No,165,,Private
0000000142,000142,State Pre-K,2025-10-27,2025-11-08,2026-12-30,No,85,Pre-K,Federal
0000000142,000142,Child Care,2022-07-02,2022-08-01,2025-06-06,No,146,,State
0000000143,000143,Early Intervention,2021-10-04,2021-10-20,2023-04-16,No,36,Early Intervention,Local
0000000143,000143,Childcare Subsidy,2023-04-30,2023-05-12,2024-11-26,No,144,,Federal
0000000144,000144,Child Care,2019-07-24,2019-08-11,2020-07-16,No,100,,Federal
0000000145,000145,Childcare Subsidy,2021-09-12,2021-09-28,2023-02-22,No,152,,Local
0000000146,000146,Early Intervention,2018-12-11,2018-12-18,2020-07-01,No,45,Early Intervention,Local
0000000147,000147,First Steps,2019-02-13,2019-03-11,2022-01-29,No,43,Early Intervention,State
0000000148,000148,Early Intervention,2021-01-04,2021-01-10,2021-08-11,No,17,Early Intervention,Federal
0000000149,000149,Childcare Subsidy,2021-12-22,2022-01-18,2023-09-07,No,97,,State
0000000150,000150,Home Visiting,2020-10-15,2020-10-23,2021-07-07,Yes,19,,Federal
0000000150,000150,Child Care,2020-11-22,2020-12-07,2023-03-27,No,134,,Private
0000000150,000150,Child Care,2023-06-29,2023-07-05,2024-07-21,No,126,,Private
0000000151,000151,Child Care,2020-12-16,2021-01-13,2022-01-31,No,57,,Local
0000000151,000151,Early Intervention,2022-02-13,2022-02-28,2023-04-30,No,41,Early Intervention,Local
0000000152,000152,Early Intervention,2020-07-17,2020-08-15,2022-02-09,No,24,Early Intervention,Private
0000000153,000153,Early Head Start,2019-09-12,2019-09-13,2021-07-22,No,113,,Local
0000000153,000153,Child Care,2021-08-05,2021-08-27,2024-08-19,No,150,,Federal
0000000153,000153,Childcare Subsidy,2020-05-21,2020-06-15,2022-03-16,No,165,,Federal
0000000154,000154,Home Visiting,2020-07-15,2020-08-14,2021-05-24,Yes,5,,Local
0000000155,000155,Childcare Subsidy,2021-06-21,2021-07-07,2023-01-09,No,103,,Private
0000000156,000156,Home Visiting,2020-04-09,2020-04-24,2021-02-06,Yes,13,,State
0000000156,000156,Early Head Start,2021-06-14,2021-06-25,2022-04-02,No,57,,Private
0000000156,000156,Head Start,2022-07-19,2022-08-09,2023-08-04,No,95,Pre-K,Federal
0000000156,000156,Early Head Start,2019-10-19,2019-10-23,2020-07-28,No,107,,Private
0000000156,000156,Early Head Start,2020-12-19,2021-01-14,2021-05-26,No,173,,State
0000000157,000157,Childcare Subsidy,2020-07-27,2020-08-22,2022-07-13,No,52,,Local
0000000157,000157,Child Care,2022-11-08,2022-11-22,2024-04-04,No,145,,State
0000000157,000157,Head Start,2024-06-30,2024-07-01,2025-06-22,No,97,Pre-K,Federal
0000000158,000158,First Steps,2023-02-25,2023-03-26,2024-07-08,No,36,Early Intervention,State
0000000159,000159,Childcare Subsidy,2022-04-30,2022-05-26,2023-11-19,No,80,,State
0000000159,000159,First Steps,2023-12-11,2023-12-25,2024-09-15,No,32,Early Intervention,State
0000000160,000160,Early Head Start,2020-03-29,2020-04-25,2021-04-19,No,89,,State
0000000160,000160,Head Start,2020-05-25,2020-06-09,2022-05-29,No,117,Pre-K,Federal
